nombre,precio,potencia,certificacion,modular,pcf,link,imagen
Cooler Master MWE Bronze 650 (MPX-6501-ACAAB-WO) (650 W),67.990,650 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/41050-cooler-master-mwe-bronze-650-mpx-6501-acaab-wo-650-w,https://solotodo-core.s3.amazonaws.com/media/cache/54/79/54796bf58f25737e05268605dca4eda0.png
EVGA 700 BR (100-BR-0700-K1) (700 W),68.900,700 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/60777-evga-700-br-100-br-0700-k1-700-w,https://s3.amazonaws.com/solotodo-core/media/cache/b5/4e/b54e9b9deca91d554389dfd0bc152e15.png
be quiet! Pure Power 10 600W (BN674) (600 W),72.086,600 W,80PLUS Silver,No,Sí,https://www.solotodo.com/products/65819-be-quiet-pure-power-10-600w-bn674-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/8f/24/8f244a14cfb4fbadf5b40aaebcba583f.png
DeepCool DA700 (700 W),71.990,700 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/43020-deepcool-da700-700-w,https://s3.amazonaws.com/solotodo-core/media/cache/9e/ac/9eaca25898abbbc33f94fc044599e125.png
Cooler Master MWE Bronze 700 V2 (MPE-7001-ACAAB-WO) (700 W),74.990,700 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/77183-cooler-master-mwe-bronze-700-v2-mpe-7001-acaab-wo-700-w,https://solotodo-core.s3.amazonaws.com/media/cache/d2/cf/d2cf798156556af4229936ad93ec5d12.png
Gamemax GM-1050 (1050 W),76.900,1050 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/29051-gamemax-gm-1050-1050-w,https://s3.amazonaws.com/solotodo-core/media/cache/52/fd/52fd42d4cb20bb586bddb01a4f46edde.png
EVGA 750 BQ (110-BQ-0750-V1) (750 W),78.900,750 W,80PLUS Bronze,Sí,Sí,https://www.solotodo.com/products/32573-evga-750-bq-110-bq-0750-v1-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/45/4a/454a30d624c4164d6399b82e0f798dac.png
Seasonic S12III 650 (SSR-650GB3) (650 W),78.990,650 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/60778-seasonic-s12iii-650-ssr-650gb3-650-w,https://s3.amazonaws.com/solotodo-core/media/cache/01/8f/018f3900a29cc0a13ae2fd8143dab3df.png
EVGA 700B (100-B1-0700-K1) (700 W),79.990,700 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/24322-evga-700b-100-b1-0700-k1-700-w,https://s3.amazonaws.com/solotodo-core/media/cache/ea/9b/ea9b8d46f6fcab1723ed0d270d54f11b.png
DeepCool DQ750ST (DP-GD-DQ750ST) (750 W),84.990,750 W,80PLUS Gold,No,Sí,https://www.solotodo.com/products/64531-deepcool-dq750st-dp-gd-dq750st-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/62/c0/62c0080d9a8bad1e7e564cb6afc87fa0.png
Seasonic FOCUS 650 Gold (SSR-650FM) (650 W),89.990,650 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/45747-seasonic-focus-650-gold-ssr-650fm-650-w,https://s3.amazonaws.com/solotodo-core/media/cache/86/0c/860c367d38378f06e483fd484c3cf2a9.png
Gamemax GM-1350 (1350 W),96.990,1350 W,80PLUS Gold,No,Sí,https://www.solotodo.com/products/43558-gamemax-gm-1350-1350-w,https://s3.amazonaws.com/solotodo-core/media/cache/bf/cc/bfcc121546fbbd260ab07cb2774ad602.png
EVGA 750 GQ (210-GQ-0750-V1) (750 W),99.900,750 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/52744-evga-750-gq-210-gq-0750-v1-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/7d/19/7d191c631ee2be6d48830087f04915ac.png
EVGA 850 BQ (110-BQ-0850-V1) (850 W),99.990,850 W,80PLUS Bronze,Sí,Sí,https://www.solotodo.com/products/31502-evga-850-bq-110-bq-0850-v1-850-w,https://s3.amazonaws.com/solotodo-core/media/cache/1f/3d/1f3dbf12e0d3d40a7ed3a004d7f46c45.png
EVGA 750 B3 (220-B3-0750-V1) (750 W),106.900,750 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/43021-evga-750-b3-220-b3-0750-v1-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/de/46/de46ee90676b658904d28e4295ee4df7.png
Antec EarthWatts Gold Pro EA-750G (750 W),110.066,750 W,80PLUS Gold,No,Sí,https://www.solotodo.com/products/56886-antec-earthwatts-gold-pro-ea-750g-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/bb/e5/bbe56819f46966599a626e93f79f8a4e.png
DeepCool DQ750-M (DP-GD-DQ750M) (750 W),112.990,750 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/61293-deepcool-dq750-m-dp-gd-dq750m-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/ae/f8/aef86f81caeb6e479c0ef3ed68046f92.png
Cooler Master V Series V850 Gold (MPY-8501-AFAAGV-US) (850 W),119.776,850 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/75068-cooler-master-v-series-v850-gold-mpy-8501-afaagv-us-850-w,
EVGA 850 B3 (220-B3-0850-V1) (850 W),125.990,850 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/53650-evga-850-b3-220-b3-0850-v1-850-w,https://s3.amazonaws.com/solotodo-core/media/cache/ab/03/ab030b115d36c04a4f512d082f94f404.png
Seasonic FOCUS Plus 750 Gold (SSR-750FX) (750 W),132.990,750 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/44190-seasonic-focus-plus-750-gold-ssr-750fx-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/5c/23/5c23f7677b45c14146274b3e924efc63.png
Seasonic FOCUS GX 850 Gold (FOCUS-GX-850) (850 W),143.990,850 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/76430-seasonic-focus-gx-850-gold-focus-gx-850-850-w,https://publicapi.solotodo.com/products/76430/picture/?width=375&height=375
Seasonic FOCUS Plus 850 Gold (SSR-850FX) (850 W),152.990,850 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/41054-seasonic-focus-plus-850-gold-ssr-850fx-850-w,https://s3.amazonaws.com/solotodo-core/media/cache/4e/f7/4ef7b7b3b277af25c2268659b4562993.png
Thermaltake Toughpower 1200W Gold (PS-TPD-1200MPCG) (1200 W),186.086,1200 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/16653-thermaltake-toughpower-1200w-gold-ps-tpd-1200mpcg-1200-w,https://s3.amazonaws.com/solotodo-core/media/cache/d5/54/d55438f5e275bba532f861a6bcf3c0d2.png
EVGA 1000 GQ (210-GQ-1000-V1) (1000 W),187.990,1000 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/32366-evga-1000-gq-210-gq-1000-v1-1000-w,https://s3.amazonaws.com/solotodo-core/media/cache/4f/4e/4f4ecdf2a497310e4d7f0b4a89d469b5.png
Seasonic FOCUS Plus 1000 Gold (SSR-1000FX) (1000 W),189.990,1000 W,80PLUS Gold,Sí,Sí,https://www.solotodo.com/products/42536-seasonic-focus-plus-1000-gold-ssr-1000fx-1000-w,https://s3.amazonaws.com/solotodo-core/media/cache/b1/15/b115936e65d3ca20b7813959524844b8.png
Antec High Current Pro HCP-1300 (1300 W),220.956,1300 W,80PLUS Platinum,Sí,Sí,https://www.solotodo.com/products/11133-antec-high-current-pro-hcp-1300-1300-w,https://s3.amazonaws.com/solotodo-core/media/cache/c1/48/c148dd2036fe592731f88a046d82ab68.png
Cooler Master V Series V1200 Platinum (RSC00-AFBAG1-WO) (1200 W),219.900,1200 W,80PLUS Platinum,Sí,Sí,https://www.solotodo.com/products/29902-cooler-master-v-series-v1200-platinum-rsc00-afbag1-wo-1200-w,https://s3.amazonaws.com/solotodo-core/media/cache/96/1c/961c1755b8feab8acdb6c232bed5a25f.png
Seasonic Prime Platinum (SSR-1300PD) (1300 W),259.990,1300 W,80PLUS Platinum,Sí,Sí,https://www.solotodo.com/products/43041-seasonic-prime-platinum-ssr-1300pd-1300-w,https://s3.amazonaws.com/solotodo-core/media/cache/f6/82/f6821befc314cb71a4eca1ad81dce215.png
