nombre,precio,tipo,capacidad,rpm,tamano,bus,link,imagen
Western Digital Blue 1 TB,51.990,HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/38697-western-digital-blue-1-tb-wd10spzx,https://s3.amazonaws.com/solotodo-core/media/cache/10/21/10219fc50f5951680e85372cd9ea9dcd.png
Western Digital Blue 500 GB,41.990,HDD,500 GB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/22355-western-digital-blue-500-gb-wd5000azlx,https://s3.amazonaws.com/solotodo-core/media/cache/91/41/914113a27daf76368f8914677a7a798e.png
Western Digital Purple 1 TB,44.990,HDD,1 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/37544-western-digital-purple-1-tb-wd10purz,https://solotodo-core.s3.amazonaws.com/media/cache/fa/e8/fae8edb3e4751f8e8d24fb666c873270.png
Seagate Barracuda 1 TB,40.900,HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/4822-seagate-barracuda-1-tb-st1000dm003,https://s3.amazonaws.com/solotodo-core/media/cache/f8/a0/f8a07e0d60e563f57d64211583bae9fb.png
Seagate Barracuda Compute 1 TB,40.900,HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/31383-seagate-barracuda-compute-1-tb-st1000dm010,https://s3.amazonaws.com/solotodo-core/media/cache/86/97/86971f16cc420d126279f361e864a15a.png
Seagate SkyHawk 1 TB,41.690,HDD,1 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33634-seagate-skyhawk-1-tb-st1000vx005,https://s3.amazonaws.com/solotodo-core/media/cache/05/7f/057fe725bffde81dd9d69a9055ceb44b.png
Hitachi Ultrastar 1 TB,41.990,HDD,1 TB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/42155-hitachi-ultrastar-1-tb-hua721010kla330,https://s3.amazonaws.com/solotodo-core/media/cache/a4/25/a425dec8c774241f2bc1d90d6eed0448.png
Toshiba 1 TB,48.990,HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/45727-toshiba-1-tb-mq04abf100,https://s3.amazonaws.com/solotodo-core/media/cache/a9/a8/a9a82743a58b564edcf39beb1422e48a.png
Toshiba V300 1 TB,44.990,HDD,1 TB,5700 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/53379-toshiba-v300-1-tb-hdwu110uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/47/cd/47cd72fdf7089002b1ae4c84a3ac89ec.png
Seagate Pipeline 2 TB,44.990,HDD,2 TB,5900 rpm,3.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/9662-seagate-pipeline-2-tb-st2000vm003,https://s3.amazonaws.com/solotodo-core/media/cache/b1/89/b189e1edf6fb8f6032db8e1c4e529d57.png
