nombre,precio,socket,chipset,memorias,formato,tipomemoria,link,imagen
Gigabyte H310M DS2 2.0,64900,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/71957-gigabyte-h310m-ds2-20,https://s3.amazonaws.com/solotodo-core/media/cache/1b/f1/1bf1f751e03b8e93ff293b8bd2eed9d2.png
MSI B360M PRO-VH,65056,LGA 1151-v2,Intel B360 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/43861-msi-b360m-pro-vh,https://s3.amazonaws.com/solotodo-core/media/cache/91/75/91755d21f29636762c987c26952e55a2.png
ASRock B450M-HDV R4.0,65900,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/58563-asrock-b450m-hdv-r40,https://solotodo-core.s3.amazonaws.com/media/cache/25/7c/257cc837960c15d25b9f07f2efbc01da.png
ASUS B150M-A/M.2,65990,LGA 1151,Intel B150 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/27751-asus-b150m-am2,https://s3.amazonaws.com/solotodo-core/media/cache/b7/02/b702e5f45af70e95662f89715ba01b09.png
MSI B365M PRO-VH,66990,LGA 1151-v2,Intel B365 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/66434-msi-b365m-pro-vh,https://s3.amazonaws.com/solotodo-core/media/cache/7b/c1/7bc1d455f28b7f931d5d786f23205af5.png
MSI B150M Bazooka,67990,LGA 1151,Intel B150 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/26794-msi-b150m-bazooka,https://s3.amazonaws.com/solotodo-core/media/cache/9b/01/9b011578b6ccbe7d97bdd24399a96100.png
MSI B450M PRO-M2 V2,68900,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/63580-msi-b450m-pro-m2-v2,https://s3.amazonaws.com/solotodo-core/media/cache/4e/24/4e2460a1550fd1cb421d454cf32b88bf.png
ASRock 970M Pro3,69900,AM3+,AMD 970 (AM3+),4x DDR3,Micro ATX,DDR3,https://www.solotodo.com/products/73247-asrock-970m-pro3,https://s3.amazonaws.com/solotodo-core/media/cache/f2/c2/f2c2dc25d383ff0394033eb47fa530af.png
MSI B450M PRO-M2,69920,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/50424-msi-b450m-pro-m2,https://s3.amazonaws.com/solotodo-core/media/cache/99/d5/99d554bd7da5119959cc88336d7d20dd.png
Gigabyte B450M S2H,71900,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/76451-gigabyte-b450m-s2h,https://s3.amazonaws.com/solotodo-core/media/cache/d1/06/d1063e9c8844ba796a41cc2e6ca034d0.png
ASRock B450M/ac,73900,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/63579-asrock-b450mac,https://s3.amazonaws.com/solotodo-core/media/cache/0f/5b/0f5bcbdaf1842197f93aaa9cd6f66680.png
