nombre,precio,formato,fuentepoder,ubfuente,panellateral,link,imagen
Apexgaming X1,49.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70009-apexgaming-x1,https://s3.amazonaws.com/solotodo-core/media/cache/d2/0d/d20d41dcdc1b7a30573108b70ea43627.png
Thermaltake Commander MS-I (VN400A1W2N),48.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5530-thermaltake-commander-ms-i-vn400a1w2n,https://s3.amazonaws.com/solotodo-core/media/cache/c3/92/c392f09bbedc4e919cc0da9ff1506844.png
Azza Raven 420 (CSAZ-420),49.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/62042-azza-raven-420-csaz-420,https://s3.amazonaws.com/solotodo-core/media/cache/35/a2/35a2600ec672d983fa7a49956a8e5485.png
Gamemax Aurora W901 RGB,49.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65914-gamemax-aurora-w901-rgb,https://s3.amazonaws.com/solotodo-core/media/cache/1f/c7/1fc738ce1c9494224d163b4f647402ae.png
Raidmax Horus - Black (ATX-322WB),49.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/20215-raidmax-horus-black-atx-322wb,https://s3.amazonaws.com/solotodo-core/media/cache/c8/8a/c88a1b96d8540d5f0b166391086ee25b.png
Thermaltake Versa H25 (Window) (CA-1C2-00M1WN-00),49.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/19901-thermaltake-versa-h25-window-ca-1c2-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/d4/3b/d43bc8650f8144b64041a0d4933079bb.png
Cooler Master NR600 w/ ODD (MCB-NR600-KG5N-S00),51.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68306-cooler-master-nr600-w-odd-mcb-nr600-kg5n-s00,https://s3.amazonaws.com/solotodo-core/media/cache/d2/3d/d23d5033884338b274f201013c8feb3c.png
Gamemax Polaris RGB,51.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/46739-gamemax-polaris-rgb,https://s3.amazonaws.com/solotodo-core/media/cache/39/3a/393ad0fcfd54e7c6db9f957c06b9f0d3.png
Apexgaming Hermès C1,51.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70005-apexgaming-hermes-c1,https://s3.amazonaws.com/solotodo-core/media/cache/ac/ed/aced6fbe9d6e496c16e8bcd5fa6aa211.png
Apexgaming Hermès C2,51.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70007-apexgaming-hermes-c2,https://s3.amazonaws.com/solotodo-core/media/cache/af/2d/af2d3ec832662ed5aebc3eb159990086.png
BitFenix Nova Mesh - Black (BFC-NVM-300-KKXSK-RP),52.500,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/70399-bitfenix-nova-mesh-black-bfc-nvm-300-kkxsk-rp,https://s3.amazonaws.com/solotodo-core/media/cache/65/f7/65f720a5db1d8b2cea416097be1fd9a3.png
Riotoro CR488,52.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/51547-riotoro-cr488,https://s3.amazonaws.com/solotodo-core/media/cache/46/20/462067342de3e198582e164e4e168dc7.png
Cooler Master MasterBox Q500L (MCB-Q500L-KANN-S00),53.990,ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/67339-cooler-master-masterbox-q500l-mcb-q500l-kann-s00,https://s3.amazonaws.com/solotodo-core/media/cache/64/4d/644d882edd6b291014b8e372687c7d64.png
Cooler Master MasterBox Pro 5 (MCY-B5P2-KWGN-00),52.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/46634-cooler-master-masterbox-pro-5-mcy-b5p2-kwgn-00,https://s3.amazonaws.com/solotodo-core/media/cache/db/0d/db0d7496f2685ae8244022a7c27959f3.png
Thermaltake View 21 Tempered Glass Edition (CA-1I3-00M1WN-00),54.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/40551-thermaltake-view-21-tempered-glass-edition-ca-1i3-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/0e/7d/0e7d576242d7df985fba3c6f15aab085.png
Cooler Master MasterBox NR600 (MCB-NR600-KGNN-S00),54.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/71204-cooler-master-masterbox-nr600-mcb-nr600-kgnn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/10/fe/10fec0ebfc1342717c661f839d85a139.png
Thermaltake Versa H17 Window + PSU 450W (CA-3J1-45S1WU-00),54.990,Micro ATX,450 W.,Inferior,Acrílico,https://www.solotodo.com/products/52705-thermaltake-versa-h17-window-psu-450w-ca-3j1-45s1wu-00,https://s3.amazonaws.com/solotodo-core/media/cache/d7/f2/d7f294099ee9c87630d9024fb169a14b.png
DeepCool Matrexx 55 RGB (DP-ATX-MATREXX55-AR),54.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/56446-deepcool-matrexx-55-rgb-dp-atx-matrexx55-ar,https://s3.amazonaws.com/solotodo-core/media/cache/64/5b/645b4977c0861248372634f82d11925f.png
DeepCool Matrexx 55 RGB WH (DP-ATX-MATREXX55-AR-WH),54.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60870-deepcool-matrexx-55-rgb-wh-dp-atx-matrexx55-ar-wh,https://s3.amazonaws.com/solotodo-core/media/cache/79/99/79992a57a5a4bd0e03dff540638fbf63.png
Cooler Master MasterBox MS600 - White (MCB-MS600-WGNN-S00),55.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64685-cooler-master-masterbox-ms600-white-mcb-ms600-wgnn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/f2/66/f2667e73f6faac9b0c1639e8a187a648.png
Thermaltake LANBOX Lite VF6000BWS,54.900,Micro ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/5538-thermaltake-lanbox-lite-vf6000bws,https://s3.amazonaws.com/solotodo-core/media/cache/bf/4f/bf4f19feef6cb2e8ab63cb4cb6371b9f.png
