nombre,precio,capacidad,formato,bus,link,imagen
Micron 1100 256 GB,39900,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43105-micron-1100-256-gb-mtfddak256tbn-1ar12abyy,https://s3.amazonaws.com/solotodo-core/media/cache/76/bf/76bfd85f6cbba7352d1880c8c0b06648.png
Seagate Barracuda 250 GB,57990,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/59406-seagate-barracuda-250-gb-za250cm10002,https://s3.amazonaws.com/solotodo-core/media/cache/b2/ac/b2acf3f289eca221a1dd81b43d5ae235.png
Kingston UV500 240 GB,38900,240 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44908-kingston-uv500-240-gb-suv500m8240g,https://s3.amazonaws.com/solotodo-core/media/cache/b2/ac/b2acf3f289eca221a1dd81b43d5ae235.png
Crucial MX500 250 GB,44900,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42563-crucial-mx500-250-gb-ct250mx500ssd1,https://s3.amazonaws.com/solotodo-core/media/cache/13/f7/13f750602009fd4139349841fa006ab7.png
Asgard AN2 250 GB,39990,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/69809-asgard-an2-250-gb-an2-250nvme,https://s3.amazonaws.com/solotodo-core/media/cache/24/cb/24cb04e1c5be4a3bf0fa82d2020ba28d.png
Intel Optane 16 GB,40790,16 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/36060-intel-optane-16-gb-mempek1w016gaxt,https://s3.amazonaws.com/solotodo-core/media/cache/15/f1/15f17f0db90e11e7b070a222a9f41f45.png
Western Digital Blue 250 GB,41900,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/40012-western-digital-blue-250-gb-wds250g2b0a,https://s3.amazonaws.com/solotodo-core/media/cache/4c/94/4c9465110e633f88f6d6c6d63f72d39b.png
Lexar NM500 256 GB,44900,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/63456-lexar-nm500-256-gb-lnm500-256rbna,https://s3.amazonaws.com/solotodo-core/media/cache/b4/7c/b47c387b21ac26716fa4f6b13a9c63f3.png
Western Digital Blue 3D NAND 250 GB,47990,250 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43982-western-digital-blue-3d-nand-250-gb-wds250g2b0b,https://s3.amazonaws.com/solotodo-core/media/cache/e5/d0/e5d03ced6d95e377fc5dc9e7b8441ca0.png
Western Digital Blue SN500 250 GB,49900,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/60611-western-digital-blue-sn500-250-gb-wds250g1b0c,https://s3.amazonaws.com/solotodo-core/media/cache/8f/62/8f6215184c0aab35c4cc6b4c16eb8d60.png
Patriot Burst 480 GB,48900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/49938-patriot-burst-480-gb-pbu480gs25ssdr,https://s3.amazonaws.com/solotodo-core/media/cache/b4/50/b450da117be615d805b4249e8a79398a.png
Western Digital Green 480 GB,57990,480 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51325-western-digital-green-480-gb-wds480g2g0b,https://s3.amazonaws.com/solotodo-core/media/cache/88/8a/888a41e88cf9013e4d8c1529e134a962.png
PNY CS900 480 GB,49900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42305-pny-cs900-480-gb-ssd7cs900-480-rb,https://s3.amazonaws.com/solotodo-core/media/cache/a0/42/a0428219c62e5566948756a9faaa93d6.png
Lexar NS200 480 GB,49900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72787-lexar-ns200-480-gb-lns200-480rbna,https://s3.amazonaws.com/solotodo-core/media/cache/59/aa/59aa3f6e8ddd0b19000f9c6985144879.png
