nombre,precio,gpu,memoria,frecuencias,bus,link,imagen
PNY Quadro P1000 (VCQP1000-ESPPB),399.950,NVIDIA Quadro P1000,4 GB GDDR5 (128 bit),1354 MHz core / 1752 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64487-pny-quadro-p1000-vcqp1000-esppb,https://s3.amazonaws.com/solotodo-core/media/cache/44/a4/44a47fd6c4c13c25f01fdc4504aa56df.png
MSI Radeon RX 5700 EVOKE OC,399.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1540 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/75354-msi-radeon-rx-5700-evoke-oc,https://s3.amazonaws.com/solotodo-core/media/cache/6b/5b/6b5b22fdf0e3ac67fcdfe2a6bdb25b81.png
Zotac GAMING GeForce RTX 2060 (ZT-T20600H-10M),398.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71249-zotac-gaming-geforce-rtx-2060-zt-t20600h-10m,https://s3.amazonaws.com/solotodo-core/media/cache/5e/54/5e543433319f974a3e0648a1b38ac29b.png
MSI GeForce RTX 2060 VENTUS 6G OC,399.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/56217-msi-geforce-rtx-2060-ventus-6g-oc,https://s3.amazonaws.com/solotodo-core/media/cache/57/e9/57e9054494776a9de2e740b14b103c52.png
ASUS DUAL-RTX2060-O6G,399.900,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55953-asus-dual-rtx2060-o6g,https://s3.amazonaws.com/solotodo-core/media/cache/0c/41/0c41812fcb4f14a1e47cce63523b06b4.png
Gigabyte Radeon RX 5600 XT GAMING OC 6G (GV-R56XTGAMING OC-6GD),399.990,AMD Radeon RX 5600 XT,6 GB GDDR6 (192 bit),1130 MHz core / 1500 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/73974-gigabyte-radeon-rx-5600-xt-gaming-oc-6g-gv-r56xtgaming-oc-6gd,https://s3.amazonaws.com/solotodo-core/media/cache/fe/d1/fed16b7cadef52dc89a8b71cb1fe9c64.png
EVGA GeForce RTX 2060 SC BLACK GAMING (06G-P4-1762-KR),409.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/76199-evga-geforce-rtx-2060-sc-black-gaming-06g-p4-1762-kr,https://s3.amazonaws.com/solotodo-core/media/cache/9f/db/9fdbb9657fb2f99829924356007a882a.png
MSI GeForce RTX 2060 GAMING Z 6G,419.520,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55909-msi-geforce-rtx-2060-gaming-z-6g,https://s3.amazonaws.com/solotodo-core/media/cache/be/30/be309c665cb7b728775969ce832ea070.png
Zotac GAMING GeForce RTX 2060 SUPER MINI (ZT-T20610E-10M),409.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/65126-zotac-gaming-geforce-rtx-2060-super-mini-zt-t20610e-10m,https://s3.amazonaws.com/solotodo-core/media/cache/67/4d/674dc1606940459ab3207817ba82937e.png
ASUS ROG-STRIX-RTX2060-O6G-GAMING (90YV0CI0-M0AA00),421.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55949-asus-rog-strix-rtx2060-o6g-gaming-90yv0ci0-m0aa00,https://s3.amazonaws.com/solotodo-core/media/cache/dc/7d/dc7db7396fd04ffba970f31fbb8d283b.png
MSI Radeon RX 5700 XT MECH OC,427.990,AMD Radeon RX 5700 XT,8 GB GDDR6 (256 bit),1670 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/66158-msi-radeon-rx-5700-xt-mech-oc,https://s3.amazonaws.com/solotodo-core/media/cache/74/45/744589a870104bb330a52f3cf431ccbe.png
ASUS ROG-STRIX-RTX2060-A6G-GAMING,429.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55958-asus-rog-strix-rtx2060-a6g-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/8d/c4/8dc45f146ba95b35e7f583031437fc16.png
MSI Radeon RX 5700 GAMING X 8G,439.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1610 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/75454-msi-radeon-rx-5700-gaming-x-8g,https://s3.amazonaws.com/solotodo-core/media/cache/0b/c9/0bc91581604156feebffe4a652371389.png
ASUS TUF 3-RX5700-O8G-GAMING (90YV0DC0-M0NA00),429.900,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1565 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/70345-asus-tuf-3-rx5700-o8g-gaming-90yv0dc0-m0na00,https://s3.amazonaws.com/solotodo-core/media/cache/79/ab/79ab2cc0f7e603b8af22ff9160764892.png
MSI GeForce RTX 2060 SUPER VENTUS GP OC,446.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/72322-msi-geforce-rtx-2060-super-ventus-gp-oc,https://s3.amazonaws.com/solotodo-core/media/cache/3e/50/3e5097fca37d6fb1398c0b0ca84ca862.png
Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G (GV-N206SWF2OC-8GD),449.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1680 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64788-gigabyte-geforce-rtx-2060-super-windforce-oc-8g-gv-n206swf2oc-8gd,https://s3.amazonaws.com/solotodo-core/media/cache/fb/bb/fbbbe6bcca64c5781e2c67d7dbe399ce.png
Galax GeForce RTX 2060 Super (1-Click OC) (26ISL6HP39SS),449.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1470 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69416-galax-geforce-rtx-2060-super-1-click-oc-26isl6hp39ss,https://s3.amazonaws.com/solotodo-core/media/cache/01/23/0123e5ada6079a4ae26f70b43744bf77.png
ASUS ROG-STRIX-RX5700-O8G-GAMING (90YV0DD0-M0NA00),449.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1610 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/70061-asus-rog-strix-rx5700-o8g-gaming-90yv0dd0-m0na00,https://s3.amazonaws.com/solotodo-core/media/cache/fb/a6/fba6f6d6737f54c99b165cd2bef023ef.png
MSI GeForce RTX 2060 SUPER VENTUS OC,458.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64585-msi-geforce-rtx-2060-super-ventus-oc,https://solotodo-core.s3.amazonaws.com/media/cache/32/a4/32a49c70e05083bf30a8d8c24db4c183.png
PNY Quadro P2200 RET SCB SB (VCQP2200-SB),459.990,NVIDIA Quadro P2200,5.0 GB GDDR5X (160 bit),1000 MHz core / 1253 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69980-pny-quadro-p2200-ret-scb-sb-vcqp2200-sb,https://solotodo-core.s3.amazonaws.com/media/cache/38/1b/381b582352ab531ecc568e8e6626753c.png
MSI Radeon RX 5700 XT GAMING X,464.990,AMD Radeon RX 5700 XT,8 GB GDDR6 (256 bit),1730 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/75469-msi-radeon-rx-5700-xt-gaming-x,https://s3.amazonaws.com/solotodo-core/media/cache/fd/07/fd07541f7f08ccf4c038957a293edabc.png
EVGA GeForce RTX 2060 SC Ultra GAMING (06G-P4-2067-KR),471.584,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/60281-evga-geforce-rtx-2060-sc-ultra-gaming-06g-p4-2067-kr,https://s3.amazonaws.com/solotodo-core/media/cache/0c/a9/0ca9af56751a6454bbbec24b8385e305.png
ASUS CERBERUS-GTX1070TI-A8G (90YV0BJ1-M0NA00),469.900,NVIDIA GeForce GTX 1070 Ti,8 GB GDDR5 (256 bit),1607 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/43579-asus-cerberus-gtx1070ti-a8g-90yv0bj1-m0na00,https://s3.amazonaws.com/solotodo-core/media/cache/8e/50/8e50b8ebb3eed1d1e25b470a44523a08.png
EVGA GeForce RTX 2060 SUPER SC BLACK GAMING (08G-P4-3062-KR),487.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1470 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71012-evga-geforce-rtx-2060-super-sc-black-gaming-08g-p4-3062-kr,https://s3.amazonaws.com/solotodo-core/media/cache/ba/a9/baa956bab87514de265c2a7d547e786e.png
MSI GeForce RTX 2060 SUPER GAMING X,489.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/63989-msi-geforce-rtx-2060-super-gaming-x,https://s3.amazonaws.com/solotodo-core/media/cache/f5/4f/f54fc5d34a3fd987c9d5690d954740f2.png
