nombre,precio,capacidad,tipo,frecuencia,formato,voltaje,link,imagen
Kingston HyperX Fury Black HX426C15FB/4 (1 x 4GB | DIMM DDR4-2666),22990,1 x 4GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/25980-kingston-hyperx-fury-black-hx426c15fb4-1-x-4gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/46/51/4651f18ef94ba71aa22f25fe9c7ee76e.png
Crucial Ballistix Sport LT BLS4G4D26BFSB (1 x 4GB | DIMM DDR4-2666),22990,1 x 4GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/53858-crucial-ballistix-sport-lt-bls4g4d26bfsb-1-x-4gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/4b/4f/4b4f7e7a634f2cdecb0c1dd68a42f1d8.png
Kingston HyperX Fury Black HX426C16FB3/4 (1 x 4GB | DIMM DDR4-2666),23523,1 x 4GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/67123-kingston-hyperx-fury-black-hx426c16fb34-1-x-4gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/1a/f6/1af63714962de50e24f91635d718663a.png
Crucial CT51264BD160B (1 x 4GB | DIMM DDR3-1600),23590,1 x 4GB,DDR3,1600 MHz,DIMM,1.35 V,https://www.solotodo.com/products/27090-crucial-ct51264bd160b-1-x-4gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/df/06/df066b244a822d189f018efb7d86bda0.png
Kingston KVR16LS11/4 (1 x 4GB | SO-DIMM DDR3-1600),23990,1 x 4GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/14129-kingston-kvr16ls114-1-x-4gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/46/51/4651f18ef94ba71aa22f25fe9c7ee76e.png
Kingston HyperX Fury Black HX424C15FB3/4 (1 x 4GB | DIMM DDR4-2400),23990,1 x 4GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/71628-kingston-hyperx-fury-black-hx424c15fb34-1-x-4gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/db/ba/dbba979c97f8e1d7707ee33c8aeb83c9.png
Kingston KCP3L16SS8/4 (1 x 4GB | SO-DIMM DDR3-1600),23970,1 x 4GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/24621-kingston-kcp3l16ss84-1-x-4gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/a8/b7/a8b7e4171b97a3150f84aadb0b9d749c.png
G.Skill F3-12800CL9S-4GBSK (1 x 4GB | SO-DIMM DDR3-1600),23990,1 x 4GB,DDR3,1600 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/6861-gskill-f3-12800cl9s-4gbsk-1-x-4gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/e1/ce/e1ce6a7e4f783ede2c18e80bfa1d2c51.png
Kingston HyperX Fury Black HX430C15FB3/4 (1 x 4GB | DIMM DDR4-3000),24928,1 x 4GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/70609-kingston-hyperx-fury-black-hx430c15fb34-1-x-4gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/3b/2b/3b2b63def1ef3706a17baab65b4d8bd9.png
Corsair CMSO4GX3M1A1333C9 (1 x 4GB | SO-DIMM DDR3-1333),24990,1 x 4GB,DDR3,1333 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/4000-corsair-cmso4gx3m1a1333c9-1-x-4gb-so-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/90/5b/905b12753abcd6eec94c4f08b0daf3f3.png
