nombre,precio,gpu,memoria,frecuencias,bus,link
PNY GeForce GTX 1660 XLR8 Gaming Overclocked Edition (VCG16606SFPPB-O),239.990,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67932-pny-geforce-gtx-1660-xlr8-gaming-overclocked-edition-vcg16606sfppb-o
ASUS ROG-STRIX-RX570-4G-GAMING (90YV0AJ1-M0NA00),235.900,AMD Radeon RX 570,4 GB GDDR5 (256 bit),1254 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/43711-asus-rog-strix-rx570-4g-gaming-90yv0aj1-m0na00
ASRock Phantom Gaming X Radeon RX570 8G OC (PHANTOM GXR RX570 8G OC),239.900,AMD Radeon RX 570,8 GB GDDR5 (256 bit),1280 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/57021-asrock-phantom-gaming-x-radeon-rx570-8g-oc-phantom-gxr-rx570-8g-oc
MSI Radeon RX 5500 XT GAMING X 8G,253.990,AMD Radeon RX 5500 XT,8 GB GDDR6 (128 bit),1685 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/73694-msi-radeon-rx-5500-xt-gaming-x-8g
Zotac GAMING GeForce GTX 1660 6GB GDDR5 (ZT-T16600F-10L),259.900,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58929-zotac-gaming-geforce-gtx-1660-6gb-gddr5-zt-t16600f-10l
Gigabyte GeForce GTX 1660 OC 6G (GV-N1660OC-6GD),259.900,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58931-gigabyte-geforce-gtx-1660-oc-6g-gv-n1660oc-6gd
MSI GeForce GTX 1660 SUPER VENTUS XS OC,260.990,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69799-msi-geforce-gtx-1660-super-ventus-xs-oc
Gigabyte GeForce GTX 1660 SUPER OC 6G (GV-N166SOC-6GD),265.900,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1830 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69110-gigabyte-geforce-gtx-1660-super-oc-6g-gv-n166soc-6gd
EVGA GTX 1060 (6 GB) (06G-P4-5161-KR),259.900,NVIDIA GeForce GTX 1060 (6 GB),6 GB GDDR5 (192 bit),1506 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/31385-evga-gtx-1060-6-gb-06g-p4-5161-kr
ASUS PH-GTX1660-O6G,259.900,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/60178-asus-ph-gtx1660-o6g
Galax GeForce GTX 1660 (1-Click OC) (60SRH7DSY91C),269.990,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69401-galax-geforce-gtx-1660-1-click-oc-60srh7dsy91c
ASUS DUAL-RX5500XT-O8G-EVO (90YV0DV1-M0AA00),269.990,AMD Radeon RX 5500 XT,8 GB GDDR6 (128 bit),1685 MHz core / 1750 MHz memorias,PCI Express 4.0 x8,https://www.solotodo.com/products/75657-asus-dual-rx5500xt-o8g-evo-90yv0dv1-m0aa00
Zotac GAMING GeForce GTX 1660 AMP 6GB GDDR5 (ZT-T16600D-10M),264.900,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58928-zotac-gaming-geforce-gtx-1660-amp-6gb-gddr5-zt-t16600d-10m
ASUS PH-GTX1660S-O6G,272.900,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71156-asus-ph-gtx1660s-o6g
MSI GeForce GTX 1660 VENTUS XS 6G OC,274.980,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58984-msi-geforce-gtx-1660-ventus-xs-6g-oc
Zotac GAMING GeForce GTX 1660 SUPER Twin Fan (ZT-T16620F-10L),275.500,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/70641-zotac-gaming-geforce-gtx-1660-super-twin-fan-zt-t16620f-10l
ASUS TUF-GTX1660-O6G-GAMING (90YV0CU2-M0AA00),274.990,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/60146-asus-tuf-gtx1660-o6g-gaming-90yv0cu2-m0aa00
ASUS PH-GTX1060-6G (90YV0A68-M0NA00),269.900,NVIDIA GeForce GTX 1060 (6 GB),6 GB GDDR5 (192 bit),1506 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/45237-asus-ph-gtx1060-6g-90yv0a68-m0na00
MSI GeForce GTX 1660 GAMING X 6G,279.990,NVIDIA GeForce GTX 1660,6 GB GDDR5 (192 bit),1530 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58986-msi-geforce-gtx-1660-gaming-x-6g
EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING (06G-P4-1068-KR),281.504,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/68748-evga-geforce-gtx-1660-super-sc-ultra-gaming-06g-p4-1068-kr
ASUS TUF-GTX1660S-O6G-GAMING (90YV0DT2-M0NA00),282.900,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/70610-asus-tuf-gtx1660s-o6g-gaming-90yv0dt2-m0na00
ASUS DUAL-GTX1660S-O6G-EVO (90YV0DS3-M0NA00),284.990,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71154-asus-dual-gtx1660s-o6g-evo-90yv0ds3-m0na00
