nombre,precio,capacidad,formato,bus,link
Biostar S120 512 GB,59.900,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72790-biostar-s120-512-gb-s120-512
Team T-Force Cardea 240 GB,62.605,240 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/45544-team-t-force-cardea-240-gb-tm8fp2240g0c110
Western Digital Blue 3D NAND 500 GB,63.880,500 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43981-western-digital-blue-3d-nand-500-gb-wds500g2b0b
Western Digital Blue 500 GB,63.900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/30413-western-digital-blue-500-gb-wds500g1b0a
Kingston UV500 480 GB,62.900,480 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44907-kingston-uv500-480-gb-suv500m8480g
Transcend 256 GB,64.990,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58237-transcend-256-gb-ts256gmte220s
A-DATA XPG Spectrix S40G RGB 256 GB,65.664,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65396-a-data-xpg-spectrix-s40g-rgb-256-gb-as40g-256gt-c
Crucial P1 500 GB,66.900,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/54774-crucial-p1-500-gb-ct500p1ssd8
Western Digital Black SN750 250 GB,69.920,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58682-western-digital-black-sn750-250-gb-wds250g3x0c
A-DATA Ultimate SU800 512 GB,69.990,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33911-a-data-ultimate-su800-512-gb-asu800ss-512gt-c
A-DATA XPG SX6000 Lite 512 GB,71.990,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/60814-a-data-xpg-sx6000-lite-512-gb-asx6000lnp-512gt-c
Seagate Barracuda 500 GB,79.990,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72548-seagate-barracuda-500-gb-za500cm10002
Gigabyte Aorus RGB 256 GB,72.990,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/61282-gigabyte-aorus-rgb-256-gb-gp-asm2ne2256gttdr
Kingston HyperX Fury RGB 480 GB,74.784,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51726-kingston-hyperx-fury-rgb-480-gb-shfr200480g
Kingston KC2000 250 GB,75.990,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/62011-kingston-kc2000-250-gb-skc2000m8250g
Western Digital Blue SN550 500 GB,76.990,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/71319-western-digital-blue-sn550-500-gb-wds500g2b0c
Western Digital Black 250 GB,79.990,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/49614-western-digital-black-250-gb-wds250g2x0c
Samsung 860 EVO 250 GB,80.028,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42795-samsung-860-evo-250-gb-mz-76e250e
Samsung 970 Evo Plus 250 GB,81.648,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/57861-samsung-970-evo-plus-250-gb-mz-v7s250bam
Kingston SSDNow UV400 240 GB,84.363,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/26189-kingston-ssdnow-uv400-240-gb-suv400s37240g
