nombre,precio,tipo,capacidad,rpm,tamano,bus,link
Toshiba N300 NAS 12 TB,438.368,HDD,12 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/57521-toshiba-n300-nas-12-tb-hdwg21cxzsta
Lenovo 2400 GB,480.110,SAS,2400 GB,10000 rpm,2.5"",SAS,https://www.solotodo.com/products/54575-lenovo-2400-gb-7xb7a00069
Toshiba X300 Performance 12 TB,497.806,HDD,12 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/65123-toshiba-x300-performance-12-tb-hdwr21cxzsta
Toshiba N300 NAS 14 TB,530.176,HDD,14 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/57519-toshiba-n300-nas-14-tb-hdwg21exzsta
HP 600 GB,546.685,SAS,600 GB,15000 rpm,3.5"",SAS,https://www.solotodo.com/products/55399-hp-600-gb-p04695-b21
Dell 1800 GB,551.749,HDD,1800 GB,10000 rpm,2.5"",SAS,https://www.solotodo.com/products/55986-dell-1800-gb-400-atjr
Toshiba X300 Performance 14 TB,578.835,HDD,14 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/65065-toshiba-x300-performance-14-tb-hdwr21exzsta
Lenovo 2 TB,615.332,SAS,2 TB,7200 rpm,2.5"",SAS,https://www.solotodo.com/products/55211-lenovo-2-tb-7xb7a00035
HP 960 GB,622.161,HDD,960 GB,5400 rpm,2.5"",SAS,https://www.solotodo.com/products/65402-hp-960-gb-p10448-b21
HP 8 TB,630.180,SAS,8 TB,7200 rpm,3.5"",SAS,https://www.solotodo.com/products/52753-hp-8-tb-819201-b21
HP 6 TB,887.705,SAS,6 TB,7200 rpm,2.5"",SAS,https://www.solotodo.com/products/68806-hp-6-tb-j9f43a
HP 1800 GB,897.810,HDD,1800 GB,10000 rpm,2.5"",SAS,https://www.solotodo.com/products/42159-hp-1800-gb-j9f49a
