nombre,precio,socket,chipset,memorias,formato,tipomemoria,link
Gigabyte B365M DS3H,78.990,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/68526-gigabyte-b365m-ds3h
ASUS PRIME B250M-C/CSM,79.900,LGA 1151,Intel B250 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/38182-asus-prime-b250m-ccsm
MSI B450M BAZOOKA V2,79.990,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/58988-msi-b450m-bazooka-v2
MSI B365M PRO-VDH,79.990,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/66435-msi-b365m-pro-vdh
MSI B450M PRO-VDH PLUS,79.900,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/59231-msi-b450m-pro-vdh-plus
MSI B360M GAMING PLUS,79.900,LGA 1151-v2,Intel B360 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/45732-msi-b360m-gaming-plus
ASUS PRIME B365M-A,79.900,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/70706-asus-prime-b365m-a
ASUS PRIME B450M-A,82.490,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/51442-asus-prime-b450m-a
ASRock B450M Pro4,84.990,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/55417-asrock-b450m-pro4
ASRock H310CM-HDV/M.2,84.990,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/70340-asrock-h310cm-hdvm2
ASUS PRIME B360M-A,82.900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/44212-asus-prime-b360m-a
ASUS PRIME H270M-PLUS/CSM,82.900,LGA 1151,Intel H270 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/34667-asus-prime-h270m-pluscsm
ASUS PRIME H370M-PLUS/CSM,89.900,LGA 1151-v2,Intel H370 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/45373-asus-prime-h370m-pluscsm
MSI B450M PRO-VDH MAX,89.990,AM4,AMD B450 MAX (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/69113-msi-b450m-pro-vdh-max
MSI B360M BAZOOKA,89.900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/43860-msi-b360m-bazooka
ASUS PRIME B450M-A/CSM,89.900,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/49379-asus-prime-b450m-acsm
ASUS B150 Pro,89.900,LGA 1151,Intel B150 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/31287-asus-b150-pro
Gigabyte B365M DS3H WIFI,93.890,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/73072-gigabyte-b365m-ds3h-wifi
MSI B350 PC MATE,94.000,AM4,AMD B350 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/35140-msi-b350-pc-mate
ASRock B365 Pro4,95.000,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/58123-asrock-b365-pro4
ASUS TUF B450M-PLUS GAMING,95.990,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/49377-asus-tuf-b450m-plus-gaming
ASRock B450 Pro4,96.900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/56853-asrock-b450-pro4
Gigabyte B365 HD3,99.950,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/70531-gigabyte-b365-hd3
Gigabyte B365 M AORUS ELITE,100.500,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/69214-gigabyte-b365-m-aorus-elite
MSI B150A GAMING PRO,98.900,LGA 1151,Intel B150 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/22857-msi-b150a-gaming-pro
ASRock B365M-ITX/ac,102.486,LGA 1151-v2,Intel B365 (LGA 1151-v2),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/67234-asrock-b365m-itxac
