nombre,precio,socket,chipset,memorias,formato,tipomemoria,link
ASRock Fatal1ty Z370 Professional Gaming i7,269.900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/41658-asrock-fatal1ty-z370-professional-gaming-i7
MSI MPG X570 GAMING PRO CARBON WIFI,276.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64853-msi-mpg-x570-gaming-pro-carbon-wifi
ASUS Z170-DELUXE,279.900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/26179-asus-z170-deluxe
ASUS ROG STRIX X299-E GAMING,299.990,LGA 2066,Intel X299 (LGA 2066),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/39531-asus-rog-strix-x299-e-gaming-90mb0u50-m0aay0
ASUS PRIME X399-A,305.490,TR4,AMD X399 (TR4),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/40666-asus-prime-x399-a
ASUS ROG Maximus XI Hero,306.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/55419-asus-rog-maximus-xi-hero-wi-fi
ASUS ROG Strix X570-F Gaming,312.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/66877-asus-rog-strix-x570-f-gaming
ASRock X570 Taichi,318.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65128-asrock-x570-taichi
ASUS ROG Maximus XI CODE,339.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/71929-asus-rog-maximus-xi-code
Gigabyte Z390 AORUS MASTER,358.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/58702-gigabyte-z390-aorus-master
MSI MEG X570 ACE,359.990,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/66157-msi-meg-x570-ace
ASUS ROG Crosshair VIII Hero,398.886,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64091-asus-rog-crosshair-viii-hero-wi-fi
ASUS ROG Maximus XI Formula,419.900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53902-asus-rog-maximus-xi-formula
ASUS ROG MAXIMUS XI GENE,459.000,LGA 1151-v2,Intel Z370 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/71253-asus-rog-maximus-xi-gene
Gigabyte TRX40 AORUS PRO WIFI,465.339,sTRX4,AMD TRX40 (sTRX4),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/70528-gigabyte-trx40-aorus-pro-wifi
ASUS ROG Crosshair VIII Impact,499.990,AM4,AMD X570 (AM4),2x DDR4,Mini DTX,DDR4,https://www.solotodo.com/products/71254-asus-rog-crosshair-viii-impact
MSI TRX40 PRO WIFI,522.490,sTRX4,AMD TRX40 (sTRX4),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/76241-msi-trx40-pro-wifi
MSI MEG X570 GODLIKE,679.990,AM4,AMD X570 (AM4),4x DDR4,Extended ATX,DDR4,https://www.solotodo.com/products/66155-msi-meg-x570-godlike
