nombre,precio,formato,fuentepoder,ubfuente,panellateral,link
Gamemax Polaris RGB,51.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/46739-gamemax-polaris-rgb
Apexgaming Hermès C1,51.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70005-apexgaming-hermes-c1
Apexgaming Hermès C2,51.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70007-apexgaming-hermes-c2
BitFenix Nova Mesh - Black (BFC-NVM-300-KKXSK-RP),52.500,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/70399-bitfenix-nova-mesh-black-bfc-nvm-300-kkxsk-rp
Riotoro CR488,52.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/51547-riotoro-cr488
Cooler Master MasterBox Q500L (MCB-Q500L-KANN-S00),53.990,ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/67339-cooler-master-masterbox-q500l-mcb-q500l-kann-s00
Cooler Master MasterBox Pro 5 (MCY-B5P2-KWGN-00),52.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/46634-cooler-master-masterbox-pro-5-mcy-b5p2-kwgn-00
Thermaltake View 21 Tempered Glass Edition (CA-1I3-00M1WN-00),54.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/40551-thermaltake-view-21-tempered-glass-edition-ca-1i3-00m1wn-00
Cooler Master MasterBox NR600 (MCB-NR600-KGNN-S00),54.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/71204-cooler-master-masterbox-nr600-mcb-nr600-kgnn-s00
Thermaltake Versa H17 Window + PSU 450W (CA-3J1-45S1WU-00),54.990,Micro ATX,450 W.,Inferior,Acrílico,https://www.solotodo.com/products/52705-thermaltake-versa-h17-window-psu-450w-ca-3j1-45s1wu-00
DeepCool Matrexx 55 RGB (DP-ATX-MATREXX55-AR),54.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/56446-deepcool-matrexx-55-rgb-dp-atx-matrexx55-ar
DeepCool Matrexx 55 RGB WH (DP-ATX-MATREXX55-AR-WH),54.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60870-deepcool-matrexx-55-rgb-wh-dp-atx-matrexx55-ar-wh
Cooler Master MasterBox MS600 - White (MCB-MS600-WGNN-S00),55.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64685-cooler-master-masterbox-ms600-white-mcb-ms600-wgnn-s00
Thermaltake LANBOX Lite VF6000BWS,54.900,Micro ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/5538-thermaltake-lanbox-lite-vf6000bws
Cooler Master MasterBox MB520 (MCB-B520-KGNN-S00),56.544,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65505-cooler-master-masterbox-mb520-mcb-b520-kgnn-s00
Nox Infinity Neon RGB,57.220,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68693-nox-infinity-neon-rgb
Thermaltake View 22 (CA-1J3-00M1WN-00),57.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43829-thermaltake-view-22-ca-1j3-00m1wn-00
Cooler Master MasterBox 5t (MCX-B5S3T-RWNN),57.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/41037-cooler-master-masterbox-5t-mcx-b5s3t-rwnn
Gamemax Abyss M908,59.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/62943-gamemax-abyss-m908
Cougar Trofeo (385AMA0),59.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/63644-cougar-trofeo-385ama0
Nox Hummer TGM,59.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68694-nox-hummer-tgm
Nox Infinity Sigma,59.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68543-nox-infinity-sigma
In Win 301 - White,59.990,Micro ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40593-in-win-301-white
In Win 301 - Black,59.990,Micro ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40592-in-win-301-black
BitFenix Nova Mesh TG - White (BFC-NVM-300-WWGKW-4A),59.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67616-bitfenix-nova-mesh-tg-white-bfc-nvm-300-wwgkw-4a
Gamdias Argus E1,59.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/60871-gamdias-argus-e1
Sharkoon VG7-W RGB,59.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/63642-sharkoon-vg7-w-rgb
Sharkoon VG6-W RGB,59.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/63643-sharkoon-vg6-w-rgb
DeepCool Matrexx 55 V3 ADD-RGB (DP-ATX-MATREXX55V3-AR),59.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/76857-deepcool-matrexx-55-v3-add-rgb-dp-atx-matrexx55v3-ar
NZXT Guardian 921RB - Red (921RB-001-RD),58.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25508-nzxt-guardian-921rb-red-921rb-001-rd
Cooler Master HAF 912 (RC-912-KKN1),59.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/5551-cooler-master-haf-912-rc-912-kkn1
Aerocool Xpredator X1 - Black Edition,59.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/22399-aerocool-xpredator-x1-black-edition
Cooler Master Storm Enforcer (SGC-1000-KWN1),59.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/8668-cooler-master-storm-enforcer-sgc-1000-kwn1
Gamemax Abyss TR M908 TG,61.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65886-gamemax-abyss-tr-m908-tg
be quiet! Pure Base 600 - Black (BG021),62.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/51055-be-quiet-pure-base-600-black-bg021
be quiet! Pure Base 600 - Silver (BG022),62.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/51054-be-quiet-pure-base-600-silver-bg022
In Win GT1 - White,63.980,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/29907-in-win-gt1-white
Cooler Master MasterBox MS600 - Silver (MCB-MS600-SGNN-S00),63.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/52855-cooler-master-masterbox-ms600-silver-mcb-ms600-sgnn-s00
Thermaltake View 27 Gull-Wing Window (CA-1G7-00M1WN-02),62.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/40559-thermaltake-view-27-gull-wing-window-ca-1g7-00m1wn-02
EVGA DG-73 (130-P0-0020-KR),65.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/42988-evga-dg-73-130-p0-0020-kr
NZXT H200 - Black / Blue (CA-H200B-BL),64.900,Mini ITX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/49141-nzxt-h200-black-blue-ca-h200b-bl
NZXT H200 - Black / Red (CA-H200B-BR),64.900,Mini ITX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/49140-nzxt-h200-black-red-ca-h200b-br
Cougar Turret (385QMY0),66.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/63645-cougar-turret-385qmy0
Thermaltake Versa H23 (con Fuente) (Window) (CA-3B1-50M1WU-01),66.990,ATX,500 W.,Inferior,Acrílico,https://www.solotodo.com/products/20260-thermaltake-versa-h23-con-fuente-window-ca-3b1-50m1wu-01
Thermaltake Versa C23 Tempered Glass RGB Edition (CA-1H7-00M1WN-00),67.500,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/41040-thermaltake-versa-c23-tempered-glass-rgb-edition-ca-1h7-00m1wn-00
Thermaltake Core V51 (CA-1C6-00M1WN-00),65.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/38565-thermaltake-core-v51-ca-1c6-00m1wn-00
DeepCool Matrexx 70 (DP-ATX-MATREXX70-BKG0P),68.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/62690-deepcool-matrexx-70-dp-atx-matrexx70-bkg0p
