Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),68,201,2091,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,69,201,2173,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,70,201,23761,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,71,200,5884,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,72,200,7133,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,73,195,5026,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,74,194,1253,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,75,194,58,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,76,194,261,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,77,192,12637,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,78,192,6171,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,,Intel,Optane+ NVMe PCIe 500GB,79,192,513,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,80,192,188,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,81,191,15494,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),82,190,5038,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,,Intel,Optane+ NVMe PCIe 128GB,83,188,137,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,84,188,6507,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,85,188,275,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,86,187,3378,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,87,184,53409,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,88,182,52,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,89,182,164,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,90,181,2233,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,91,179,3142,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,92,174,1655,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,93,174,6419,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,94,174,5326,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,95,173,2460,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,96,173,580,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,97,170,1284,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,98,169,36138,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,99,167,1202,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,100,167,5012,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,101,167,8130,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,102,165,4930,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,103,164,2074,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,104,163,642,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,105,162,124,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,106,160,3447,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,107,159,1030,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,108,158,75,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,109,158,1598,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,,Apple,SM0512G PCIe 500GB,110,157,725,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,111,156,9347,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,112,154,1472,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,113,154,865,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,114,152,7625,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,115,152,779,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,,Apple,SM0256G PCIe 251GB,116,152,537,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,117,150,982,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,118,149,415,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,SKC1000/240G,Kingston,KC1000 NVMe PCIe M.2 240GB,119,147,1067,https://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,120,146,1287,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,121,145,34,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,MDNVME80-BPX-0128,MyDigitalSSD,BPX NVMe PCIe M.2 120GB,122,145,586,https://ssd.userbenchmark.com/SpeedTest/217777/BPX
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,123,144,124,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,124,144,1295,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G
SSD,KXG50ZNV512G,Toshiba,XG5 NVMe PCIe M.2 512GB,125,143,18393,https://ssd.userbenchmark.com/SpeedTest/359770/KXG50ZNV512G-NVMe-TOSHIBA-512GB
SSD,PX-1TM8SeGN,Plextor,M8Se NVMe PCIe M.2 1TB,126,141,60,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB,127,140,4520,https://ssd.userbenchmark.com/SpeedTest/37633/NVMe-PM951-NVMe-SAMSU
SSD,SA1000M8/960G,Kingston,A1000 NVMe PCIe M.2 960GB,128,139,910,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G
SSD,PX-128M8PeG,Plextor,M8Pe NVMe PCIe M.2 128GB,129,139,322,https://ssd.userbenchmark.com/SpeedTest/171560/PLEXTOR-PX-128M8PeG
SSD,ASX8000NP-256GM-C,Adata,XPG SX8000 NVMe PCIe M.2 256GB,130,138,1858,https://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP
SSD,PX-256M8SeGN,Plextor,M8Se NVMe PCIe M.2 256GB,131,137,233,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,2YY42AA#ABC,HP,EX900 NVMe PCIe M.2 120GB,132,136,564,https://ssd.userbenchmark.com/SpeedTest/489362/HP-SSD-EX900-120GB
SSD,CSSD-F120GBMP500,Corsair,Force MP500 NVMe PCIe M.2 120GB,133,136,7203,https://ssd.userbenchmark.com/SpeedTest/221057/Force-MP500
SSD,SA1000M8/480G,Kingston,A1000 NVMe PCIe M.2 480GB,134,135,5232,https://ssd.userbenchmark.com/SpeedTest/492906/KINGSTON-SA1000M8480G
SSD,SHPM2280P2/240G,Kingston,HyperX Predator AHCI PCIe M.2 240GB,135,133,4542,https://ssd.userbenchmark.com/SpeedTest/26065/Kingston-SHPM2280P2240G
SSD,MDNVME80-SBX-0512,MyDigitalSSD,SBX NVMe PCIe M.2 512GB,136,132,126,https://ssd.userbenchmark.com/SpeedTest/438137/SBX
SSD,SSDPEKKW512G7X1,Intel,600p Series NVMe PCIe M.2 512GB,137,132,12001,https://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7
